split,filename,class_name,bbox_index,width_px,height_px,area_px,relative_area,aspect_ratio,objects_in_image,domain,outlier_side,rank,percentile,outlier_score,review_reason
train,LONSUM_A21A_0083_1.jpg,B4,3,34,27,922,0.0008,1.2542,4,LONSUM,left,7,0.0017,0.8961,B4 terlalu kecil dibanding distribusi kelasnya
test,DAMIMAS_A21B_0130_1.jpg,B4,4,27,34,930,0.0008,0.8111,5,DAMIMAS,left,8,0.0020,0.8951,B4 terlalu kecil dibanding distribusi kelasnya
val,DAMIMAS_A21B_0349_4.jpg,B4,1,28,34,942,0.0008,0.8044,2,DAMIMAS,left,9,0.0023,0.8938,B4 terlalu kecil dibanding distribusi kelasnya
train,DAMIMAS_A21B_0660_1.jpg,B4,3,22,44,967,0.0008,0.4918,6,DAMIMAS,left,10,0.0026,0.8910,B4 terlalu kecil dibanding distribusi kelasnya
train,DAMIMAS_A21B_0214_1.jpg,B4,3,35,28,1006,0.0008,1.2385,7,DAMIMAS,left,11,0.0029,0.8866,B4 terlalu kecil dibanding distribusi kelasnya
train,DAMIMAS_A21B_0082_4.jpg,B4,4,31,33,1029,0.0008,0.9275,5,DAMIMAS,left,12,0.0032,0.8840,B4 terlalu kecil dibanding distribusi kelasnya
test,DAMIMAS_A21B_0442_2.jpg,B4,5,38,27,1032,0.0008,1.4107,6,DAMIMAS,left,13,0.0035,0.8836,B4 terlalu kecil dibanding distribusi kelasnya
test,DAMIMAS_A21B_0442_1.jpg,B4,4,35,30,1056,0.0009,1.1912,7,DAMIMAS,left,14,0.0038,0.8809,B4 terlalu kecil dibanding distribusi kelasnya
val,DAMIMAS_A21B_0342_3.jpg,B4,4,29,37,1095,0.0009,0.7877,7,DAMIMAS,left,15,0.0041,0.8765,B4 terlalu kecil dibanding distribusi kelasnya
test,DAMIMAS_A21B_0126_4.jpg,B4,4,20,56,1120,0.0009,0.3624,5,DAMIMAS,left,16,0.0044,0.8737,B4 terlalu kecil dibanding distribusi kelasnya
train,DAMIMAS_A21B_0238_1.jpg,B4,3,24,47,1128,0.0009,0.5093,4,DAMIMAS,left,17,0.0046,0.8729,B4 terlalu kecil dibanding distribusi kelasnya
val,DAMIMAS_A21B_0390_2.jpg,B4,5,40,29,1156,0.0009,1.3986,8,DAMIMAS,left,18,0.0049,0.8697,B4 terlalu kecil dibanding distribusi kelasnya
train,DAMIMAS_A21B_0542_4.jpg,B4,3,39,31,1206,0.0010,1.2755,7,DAMIMAS,left,19,0.0052,0.8641,B4 terlalu kecil dibanding distribusi kelasnya
test,DAMIMAS_A21B_0442_1.jpg,B4,5,33,36,1209,0.0010,0.9156,7,DAMIMAS,left,20,0.0055,0.8637,B4 terlalu kecil dibanding distribusi kelasnya
val,DAMIMAS_A21B_0557_4.jpg,B4,2,28,43,1211,0.0010,0.6667,6,DAMIMAS,left,21,0.0058,0.8635,B4 terlalu kecil dibanding distribusi kelasnya
val,LONSUM_A21A_0091_1.jpg,B4,1,35,35,1211,0.0010,0.9865,5,LONSUM,left,22,0.0061,0.8635,B4 terlalu kecil dibanding distribusi kelasnya
train,DAMIMAS_A21B_0466_1.jpg,B4,2,30,41,1215,0.0010,0.7345,3,DAMIMAS,left,23,0.0064,0.8631,B4 terlalu kecil dibanding distribusi kelasnya
train,DAMIMAS_A21B_0498_3.jpg,B4,5,26,47,1235,0.0010,0.5510,7,DAMIMAS,left,24,0.0067,0.8608,B4 terlalu kecil dibanding distribusi kelasnya
test,DAMIMAS_A21B_0642_3.jpg,B4,2,298,358,106749,0.0869,0.8321,3,DAMIMAS,right,1,1.0000,11.0338,B4 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0641_3.jpg,B4,4,261,342,89080,0.0725,0.7638,7,DAMIMAS,right,2,0.9997,9.0420,B4 terlalu besar dibanding distribusi kelasnya
val,DAMIMAS_A21B_0708_4.jpg,B4,4,246,345,84799,0.0690,0.7134,6,DAMIMAS,right,3,0.9994,8.5594,B4 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0680_4.jpg,B4,4,264,265,70132,0.0571,0.9970,6,DAMIMAS,right,4,0.9991,6.9059,B4 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0610_1.jpg,B4,1,231,288,66538,0.0541,0.8045,3,DAMIMAS,right,5,0.9988,6.5009,B4 terlalu besar dibanding distribusi kelasnya
val,DAMIMAS_A21B_0649_1.jpg,B4,0,228,286,65241,0.0531,0.8000,4,DAMIMAS,right,6,0.9985,6.3546,B4 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0681_2.jpg,B4,6,255,244,62148,0.0506,1.0427,8,DAMIMAS,right,7,0.9983,6.0059,B4 terlalu besar dibanding distribusi kelasnya
val,DAMIMAS_A21B_0708_4.jpg,B4,2,234,259,60590,0.0493,0.9027,6,DAMIMAS,right,8,0.9980,5.8302,B4 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0644_4.jpg,B4,1,273,222,60545,0.0493,1.2283,6,DAMIMAS,right,9,0.9977,5.8252,B4 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0645_1.jpg,B4,0,210,287,60249,0.0490,0.7328,3,DAMIMAS,right,10,0.9974,5.7918,B4 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0644_2.jpg,B4,2,229,264,60235,0.0490,0.8673,6,DAMIMAS,right,11,0.9971,5.7903,B4 terlalu besar dibanding distribusi kelasnya
test,DAMIMAS_A21B_0642_3.jpg,B4,1,271,220,59423,0.0484,1.2321,3,DAMIMAS,right,12,0.9968,5.6988,B4 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0707_3.jpg,B4,4,252,236,59262,0.0482,1.0682,6,DAMIMAS,right,13,0.9965,5.6806,B4 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0597_4.jpg,B4,1,180,327,58884,0.0479,0.5511,4,DAMIMAS,right,14,0.9962,5.6380,B4 terlalu besar dibanding distribusi kelasnya
test,DAMIMAS_A21B_0642_1.jpg,B4,1,217,256,55596,0.0452,0.8469,4,DAMIMAS,right,15,0.9959,5.2673,B4 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0646_4.jpg,B4,4,271,203,55090,0.0448,1.3346,5,DAMIMAS,right,16,0.9956,5.2103,B4 terlalu besar dibanding distribusi kelasnya
val,DAMIMAS_A21B_0708_2.jpg,B4,2,224,236,52825,0.0430,0.9508,7,DAMIMAS,right,17,0.9954,4.9550,B4 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0723_2.jpg,B4,6,229,229,52344,0.0426,0.9978,10,DAMIMAS,right,18,0.9951,4.9008,B4 terlalu besar dibanding distribusi kelasnya
val,DAMIMAS_A21B_0703_1.jpg,B4,3,240,218,52217,0.0425,1.0993,6,DAMIMAS,right,19,0.9948,4.8864,B4 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0644_1.jpg,B4,1,281,183,51466,0.0419,1.5392,6,DAMIMAS,right,20,0.9945,4.8018,B4 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0484_4.jpg,B4,3,229,220,50406,0.0410,1.0425,4,DAMIMAS,right,21,0.9942,4.6823,B4 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0646_2.jpg,B4,3,248,203,50386,0.0410,1.2206,4,DAMIMAS,right,22,0.9939,4.6800,B4 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0736_2.jpg,B4,2,251,198,49638,0.0404,1.2672,5,DAMIMAS,right,23,0.9936,4.5956,B4 terlalu besar dibanding distribusi kelasnya
train,DAMIMAS_A21B_0645_2.jpg,B4,1,205,241,49503,0.0403,0.8500,3,DAMIMAS,right,24,0.9933,4.5805,B4 terlalu besar dibanding distribusi kelasnya
